subject,task,id,num,answer,question,questionVi,options,answerDisplay,intent,concept,whyCorrect,whyWrong,memoryTip
prm,fuexam_image,99,58,B,What does Curves/Animation provide?,Curves/Animation cung cấp gì?,A: Layout control || B: Animation curve behavior || C: State updates || D: Navigation,B. Hành vi đường cong animation,"• Đường cong/thời gian điều khiển nhịp chuyển động UI (ease-in/out…).
• Làm animation mượt, không tuyến tính cứng.",• Đường cong/thời gian điều khiển nhịp chuyển động UI (ease-in/out…).,"• Curves định nghĩa đường cong/hành vi animation (easing).
• Làm animation mượt, không tuyến tính cứng.","A: • Là gì? Cách xếp vị trí/kích thước widget con trên màn hình. / • Dùng để làm gì? Bố cục UI; khác nhịp animation. / • Vì sao sai? Liên quan chuyển động UI, không giải quyết khái niệm trong câu hỏi. || C: • Là gì? Nội dung phương án: State updates. / • Dùng để làm gì? Chỉ đúng nếu khớp đúng khía cạnh mà câu hỏi yêu cầu. / • Vì sao sai? Liên quan chuyển động UI, không giải quyết khái niệm trong câu hỏi. || D: • Là gì? Nội dung phương án: Navigation. / • Dùng để làm gì? Chỉ đúng nếu khớp đúng khía cạnh mà câu hỏi yêu cầu. / • Vì sao sai? Liên quan chuyển động UI, không giải quyết khái niệm trong câu hỏi.",• Animation/Tween định nghĩa chuyển động; luôn dispose controller để tránh rò memory.
prm,slides,100,99,A,"According to Flutter architecture overview, which three layers are described?","Theo tổng quan kiến trúc Flutter, ba tầng nào được mô tả?","A: Framework (Dart), Engine (C++), Embedder || B: HTML, CSS, JavaScript only || C: JVM, ART, Dalvik only || D: Kernel, Shell, Desktop only","A. Framework (Dart), Engine (C++), Embedder","• Ba tầng kiến trúc Flutter: Framework (Dart UI), Engine (C++/Skia), Embedder (OS).
• Chọn phương án khớp cơ chế Flutter, không chọn stack web/Android nhầm.","• Ba tầng kiến trúc Flutter: Framework (Dart UI), Engine (C++/Skia), Embedder (OS).","• Slide M1: ba tầng Framework (Dart) – Engine (C++) – Embedder.
• Tách UI, render và tích hợp nền tảng.","B: • Là gì? Stack dựng giao diện web trên trình duyệt. / • Dùng để làm gì? Trang web; khác pipeline widget/engine Flutter. / • Vì sao sai? Flutter không dựng UI chính bằng XML/HTML/CSS như Android View/web cổ điển. || C: • Là gì? Runtime chạy bytecode Java/Kotlin trên Android. / • Dùng để làm gì? Thực thi app Android native, không phải 3 tầng Flutter. / • Vì sao sai? JVM/ART/Dalvik là runtime Android Java/Kotlin, không phải 3 tầng Flutter. || D: • Là gì? Các lớp hệ điều hành/môi trường desktop (kernel, shell…). / • Dùng để làm gì? Quản lý máy/OS; không phải 3 tầng Framework–Engine–Embedder của Flutter. / • Vì sao sai? Kernel/Shell là khái niệm hệ điều hành, không phải kiến trúc Flutter.",• Slide M1: ba tầng Framework (Dart) – Engine (C++) – Embedder.
prm,slides,101,100,B,What is the correct high-level rendering workflow in Flutter?,Quy trình render cấp cao đúng trong Flutter là gì?,A: GPU → Widget Tree → SQL → Disk || B: Widget Tree → Render Tree → Composited Scene → GPU Rendering || C: XML Layout → Bridge → Native View only || D: CSS DOM → Browser → Print only,B. Cây Widget → Cây Render → Cảnh ghép → GPU render,"• Cây đối tượng layout/paint sau khi widget được inflate.
• Chọn phương án khớp cơ chế Flutter, không chọn stack web/Android nhầm.",• Cây đối tượng layout/paint sau khi widget được inflate.,"• M1: Widget Tree → Render Tree → Composited Scene → GPU.
• Tính kích thước, vị trí và vẽ lên layer.","A: • Là gì? Cây cấu hình UI lồng nhau mô tả giao diện tại một thời điểm. / • Dùng để làm gì? Đầu vào cho Element/Render pipeline của Flutter. / • Vì sao sai? Cây cấu hình UI lồng nhau mô tả giao diện tại một thời điểm. Trong khi đề cần: Cây đối tượng layout/paint sau khi widget được inflate. || C: • Là gì? Ý «XML Layout → Bridge → Native View only» trong hệ sinh thái Flutter/Dart — cần đúng vai trò kỹ thuật, không chỉ trùng tên. / • Dùng để làm gì? Thường gắn UI, state, async hoặc toolchain. / • Vì sao sai? Flutter không dựng UI chính bằng XML/HTML/CSS như Android View/web cổ điển. || D: • Là gì? Cách xếp vị trí/kích thước widget con trên màn hình. / • Dùng để làm gì? Bố cục UI; khác nhịp animation. / • Vì sao sai? Flutter không dựng UI chính bằng XML/HTML/CSS như Android View/web cổ điển.",• M1: Widget Tree → Render Tree → Composited Scene → GPU.
prm,slides,102,101,C,Which statement matches a key concept of Flutter UI?,Phát biểu nào khớp khái niệm cốt lõi về UI Flutter?,A: Everything must be written in Kotlin || B: UI is defined only with HTML files || C: Everything in Flutter is a Widget || D: Flutter cannot draw custom UI,C. Mọi thứ trong Flutter đều là Widget,"• Ý «Everything in Flutter is a Widget» trong hệ sinh thái Flutter/Dart — cần đúng vai trò kỹ thuật, không chỉ trùng tên.
• Chọn phương án khớp cơ chế Flutter, không chọn stack web/Android nhầm.","• Ý «Everything in Flutter is a Widget» trong hệ sinh thái Flutter/Dart — cần đúng vai trò kỹ thuật, không chỉ trùng tên.","• Thường gắn UI, state, async hoặc toolchain.
• Ý «Everything in Flutter is a Widget» trong hệ sinh thái Flutter/Dart — cần đúng vai trò kỹ thuật, không chỉ trùng tên.","A: • Là gì? Ngôn ngữ chính cho Android native hiện đại. / • Dùng để làm gì? App Android/JVM; Flutter UI dùng Dart. / • Vì sao sai? Flutter UI viết bằng Dart + widget, không bắt buộc Kotlin. || B: • Là gì? Ý «UI is defined only with HTML files» trong hệ sinh thái Flutter/Dart — cần đúng vai trò kỹ thuật, không chỉ trùng tên. / • Dùng để làm gì? Thường gắn UI, state, async hoặc toolchain. / • Vì sao sai? Flutter không dựng UI chính bằng XML/HTML/CSS như Android View/web cổ điển. || D: • Là gì? Ý «Flutter cannot draw custom UI» trong hệ sinh thái Flutter/Dart — cần đúng vai trò kỹ thuật, không chỉ trùng tên. / • Dùng để làm gì? Thường gắn UI, state, async hoặc toolchain. / • Vì sao sai? Flutter vẽ UI tùy biến qua widget/custom paint; phát biểu phủ định là sai.",• M1: Everything in Flutter is a Widget.
prm,slides,103,102,B,Which engine technology does Flutter use for rendering (as mentioned in slides)?,Flutter dùng công nghệ engine nào để render?,"A: WebKit only || B: Skia (C++ engine, GPU acceleration) || C: OpenGL ES exclusive without Skia || D: Swing toolkit","B. Skia (engine C++, tăng tốc GPU)","• Thư viện đồ họa 2D (C++) mà Flutter Engine dùng để vẽ.
• Chọn phương án khớp cơ chế Flutter, không chọn stack web/Android nhầm.",• Thư viện đồ họa 2D (C++) mà Flutter Engine dùng để vẽ.,"• M1 Engine: C++ powered by Skia, GPU acceleration.
• Render UI nhất quán, tận dụng GPU.","A: • Là gì? Engine trình duyệt để render HTML/CSS. / • Dùng để làm gì? Hiển thị web; không phải engine vẽ chính của Flutter. / • Vì sao sai? Engine trình duyệt để render HTML/CSS. Trong khi đề cần: Thư viện đồ họa 2D (C++) mà Flutter Engine dùng để vẽ. || C: • Là gì? Thư viện đồ họa 2D (C++) mà Flutter Engine dùng để vẽ. / • Dùng để làm gì? Render UI nhất quán, tận dụng GPU. / • Vì sao sai? Thư viện đồ họa 2D (C++) mà Flutter Engine dùng để vẽ. Trong khi đề cần: Thư viện đồ họa 2D (C++) mà Flutter Engine dùng để vẽ. || D: • Là gì? Ý «Swing toolkit» trong hệ sinh thái Flutter/Dart — cần đúng vai trò kỹ thuật, không chỉ trùng tên. / • Dùng để làm gì? Thường gắn UI, state, async hoặc toolchain. / • Vì sao sai? Ý «Swing toolkit» trong hệ sinh thái Flutter/Dart — cần đúng vai trò kỹ thuật, không chỉ trùng tên. Trong khi đề cần: Thư viện đồ họa 2D (C++) mà Flutter Engine dùng để vẽ.","• M1 Engine: C++ powered by Skia, GPU acceleration."
prm,slides,104,103,A,"Compared with React Native in the comparison table, Flutter uses which language?","So với React Native, Flutter dùng ngôn ngữ nào?",A: Dart || B: JavaScript only || C: Ruby || D: PHP,A. Dart,"• Ngôn ngữ lập trình chính của Flutter.
• Chọn phương án khớp cơ chế Flutter, không chọn stack web/Android nhầm.",• Ngôn ngữ lập trình chính của Flutter.,"• M1 table: Flutter → Dart; React Native → JS.
• Viết UI và logic app Flutter.","B: • Là gì? Stack dựng giao diện web trên trình duyệt. / • Dùng để làm gì? Trang web; khác pipeline widget/engine Flutter. / • Vì sao sai? JavaScript là ngôn ngữ React Native; Flutter dùng Dart. || C: • Là gì? Ý «Ruby» trong hệ sinh thái Flutter/Dart — cần đúng vai trò kỹ thuật, không chỉ trùng tên. / • Dùng để làm gì? Thường gắn UI, state, async hoặc toolchain. / • Vì sao sai? Ruby không phải ngôn ngữ UI chính của Flutter (Dart). || D: • Là gì? Ý «PHP» trong hệ sinh thái Flutter/Dart — cần đúng vai trò kỹ thuật, không chỉ trùng tên. / • Dùng để làm gì? Thường gắn UI, state, async hoặc toolchain. / • Vì sao sai? PHP không phải ngôn ngữ UI chính của Flutter (Dart).",• M1 table: Flutter → Dart; React Native → JS.
prm,slides,105,104,B,What is a main benefit of Flutter listed in the introduction slides?,Lợi ích chính nào của Flutter được nêu trong slide giới thiệu?,A: Must rewrite UI for every OS with different languages only || B: Consistency: same UI across devices (plus performance/flexibility) || C: Cannot compile to ARM || D: No widget set available,B. Nhất quán: cùng UI trên nhiều thiết bị (kèm hiệu năng/linh hoạt),"• Phân biệt List / Set / Map trong Dart.
• Thứ tự, trùng lặp, hay key–value.",• UI/hành vi thống nhất trên nhiều thiết bị nhờ một codebase Flutter.,"• M1 Benefits: Performance, Consistency, Flexibility.
• Giảm lệch giao diện giữa iOS/Android.","A: • Là gì? Phần mềm quản lý phần cứng, tiến trình, bộ nhớ, I/O. / • Dùng để làm gì? Cấp tài nguyên và lập lịch cho chương trình. / • Vì sao sai? Phần mềm quản lý phần cứng, tiến trình, bộ nhớ, I/O. Trong khi đề cần: UI/hành vi thống nhất trên nhiều thiết bị nhờ một codebase Flutter. || C: • Là gì? Phát biểu phủ định khả năng biên dịch ra kiến trúc ARM. / • Dùng để làm gì? Trái thực tế Flutter/AOT hỗ trợ ARM trên mobile. / • Vì sao sai? Phát biểu phủ định khả năng biên dịch ra kiến trúc ARM. Trong khi đề cần: UI/hành vi thống nhất trên nhiều thiết bị nhờ một codebase Flutter. || D: • Là gì? Tập hợp giá trị không trùng. / • Dùng để làm gì? Loại trùng, kiểm tra membership. / • Vì sao sai? Set không cho trùng và không dùng index như List.","• M1 Benefits: Performance, Consistency, Flexibility."
prm,slides,106,105,C,Which command verifies Flutter SDK installation after adding PATH?,Lệnh nào kiểm tra cài đặt Flutter SDK sau khi thêm PATH?,A: npm doctor || B: pip check || C: flutter doctor || D: adb uninstall,C. flutter doctor,"• Lệnh kiểm tra môi trường SDK, toolchain, thiết bị Flutter.
• Chọn phương án khớp cơ chế Flutter, không chọn stack web/Android nhầm.","• Lệnh kiểm tra môi trường SDK, toolchain, thiết bị Flutter.","• M1: Verify with flutter doctor.
• Xác nhận cài đặt/PATH sau setup.","A: • Là gì? Ý «npm doctor» trong hệ sinh thái Flutter/Dart — cần đúng vai trò kỹ thuật, không chỉ trùng tên. / • Dùng để làm gì? Thường gắn UI, state, async hoặc toolchain. / • Vì sao sai? Ý «npm doctor» trong hệ sinh thái Flutter/Dart — cần đúng vai trò kỹ thuật, không chỉ trùng tên. Trong khi đề cần: Lệnh kiểm tra môi trường SDK, toolchain, thiết bị Flutter. || B: • Là gì? Ý «pip check» trong hệ sinh thái Flutter/Dart — cần đúng vai trò kỹ thuật, không chỉ trùng tên. / • Dùng để làm gì? Thường gắn UI, state, async hoặc toolchain. / • Vì sao sai? Ý «pip check» trong hệ sinh thái Flutter/Dart — cần đúng vai trò kỹ thuật, không chỉ trùng tên. Trong khi đề cần: Lệnh kiểm tra môi trường SDK, toolchain, thiết bị Flutter. || D: • Là gì? Ý «adb uninstall» trong hệ sinh thái Flutter/Dart — cần đúng vai trò kỹ thuật, không chỉ trùng tên. / • Dùng để làm gì? Thường gắn UI, state, async hoặc toolchain. / • Vì sao sai? Ý «adb uninstall» trong hệ sinh thái Flutter/Dart — cần đúng vai trò kỹ thuật, không chỉ trùng tên. Trong khi đề cần: Lệnh kiểm tra môi trường SDK, toolchain, thiết bị Flutter.",• M1: Verify with flutter doctor.
prm,slides,107,106,A,What is DartPad mainly useful for according to the slides?,Cái gì là DartPad mainly useful for according to the slides?,A: Run Flutter/Dart code in browser without local install || B: Deploy apps to App Store automatically || C: Compile C++ engine source || D: Manage Android signing keys only,A. Run Flutter/Dart code in browser without local install,"• Ngôn ngữ lập trình chính của Flutter.
• Viết UI và logic app Flutter.",• Ngôn ngữ lập trình chính của Flutter.,"• M1: DartPad online, no installation, ideal for demos.
• Viết UI và logic app Flutter.","B: • Là gì? Ý «Deploy apps to App Store automatically» trong hệ sinh thái Flutter/Dart — cần đúng vai trò kỹ thuật, không chỉ trùng tên. / • Dùng để làm gì? Thường gắn UI, state, async hoặc toolchain. / • Vì sao sai? Ý «Deploy apps to App Store automatically» trong hệ sinh thái Flutter/Dart — cần đúng vai trò kỹ thuật, không chỉ trùng tên. Trong khi đề cần: Ngôn ngữ lập trình chính của Flutter. || C: • Là gì? Ý «Compile C++ engine source» trong hệ sinh thái Flutter/Dart — cần đúng vai trò kỹ thuật, không chỉ trùng tên. / • Dùng để làm gì? Thường gắn UI, state, async hoặc toolchain. / • Vì sao sai? Ý «Compile C++ engine source» trong hệ sinh thái Flutter/Dart — cần đúng vai trò kỹ thuật, không chỉ trùng tên. Trong khi đề cần: Ngôn ngữ lập trình chính của Flutter. || D: • Là gì? Ý «Manage Android signing keys only» trong hệ sinh thái Flutter/Dart — cần đúng vai trò kỹ thuật, không chỉ trùng tên. / • Dùng để làm gì? Thường gắn UI, state, async hoặc toolchain. / • Vì sao sai? Ý «Manage Android signing keys only» trong hệ sinh thái Flutter/Dart — cần đúng vai trò kỹ thuật, không chỉ trùng tên. Trong khi đề cần: Ngôn ngữ lập trình chính của Flutter.","• M1: DartPad online, no installation, ideal for demos."
prm,slides,108,107,B,"When installing Android Studio for Flutter, which plugin is required?","Khi cài Android Studio cho Flutter, plugin nào là bắt buộc?",A: Only Python plugin || B: Flutter plugin (Dart plugin installs with it) || C: Only COBOL plugin || D: Only Photoshop plugin,B. Flutter plugin (Dart plugin installs with it),"• Ngôn ngữ lập trình chính của Flutter.
• Chọn phương án khớp cơ chế Flutter, không chọn stack web/Android nhầm.",• Ngôn ngữ lập trình chính của Flutter.,"• M1: Install Flutter plugin; Dart comes automatically.
• Viết UI và logic app Flutter.","A: • Là gì? Ý «Only Python plugin» trong hệ sinh thái Flutter/Dart — cần đúng vai trò kỹ thuật, không chỉ trùng tên. / • Dùng để làm gì? Thường gắn UI, state, async hoặc toolchain. / • Vì sao sai? Ý «Only Python plugin» trong hệ sinh thái Flutter/Dart — cần đúng vai trò kỹ thuật, không chỉ trùng tên. Trong khi đề cần: Ngôn ngữ lập trình chính của Flutter. || C: • Là gì? Ý «Only COBOL plugin» trong hệ sinh thái Flutter/Dart — cần đúng vai trò kỹ thuật, không chỉ trùng tên. / • Dùng để làm gì? Thường gắn UI, state, async hoặc toolchain. / • Vì sao sai? Ý «Only COBOL plugin» trong hệ sinh thái Flutter/Dart — cần đúng vai trò kỹ thuật, không chỉ trùng tên. Trong khi đề cần: Ngôn ngữ lập trình chính của Flutter. || D: • Là gì? Phần mềm quản lý phần cứng, tiến trình, bộ nhớ, I/O. / • Dùng để làm gì? Cấp tài nguyên và lập lịch cho chương trình. / • Vì sao sai? Phần mềm quản lý phần cứng, tiến trình, bộ nhớ, I/O. Trong khi đề cần: Ngôn ngữ lập trình chính của Flutter.",• M1: Install Flutter plugin; Dart comes automatically.
